"","Entity","milk_equivalents","red_meat","poultry","eggs","seafood","Prevalence.of.obesity.among.adults..BMI....30..age.standardized.estimate........Sex..both.sexes...Age.group..18...years","Share.of.total.deaths.that.are.from.all.causes.attributed.to.high.body.mass.index..in.both.sexes.aged.age.standardized"
"25","Cameroon",23.56164384,15.69863014,8.657534247,0.95890411,49.47945205,11.4,9.480829
"26","Canada",443.5068493,119.3972603,106.9041096,38.82191781,61.50684932,29.4,10.017757
"27","Cape Verde",144.0273973,39.28767123,48.2739726,13.20547945,30.4109589,11.8,10.084935
"28","Central African Republic",46.30136986,79.61643836,6.273972603,1.342465753,21.17808219,7.5,2.816353
"29","Chad",111.1232877,68.71232877,1.232876712,0.931506849,19.67123288,6.1,3.402265
"30","Chile",259.2328767,126.5205479,99.61643836,28.73972603,32.2739726,28,12.061226
"31","China",65.89041096,127.2876712,35.28767123,62.24657534,104.5753425,6.2,6.388997
"32","Colombia",333.7260274,65.15068493,87.64383562,35.04109589,19.61643836,22.3,10.233692
"33","Congo",3.232876712,25.42465753,58.98630137,1.534246575,80.38356164,9.6,9.55695
"34","Costa Rica",472.9589041,74.05479452,72.65753425,28.79452055,50.57534247,25.7,11.253407
"35","Cote d'Ivoire",4.547945205,9.643835616,6.931506849,5.616438356,49.23287671,10.3,6.232938
"36","Croatia",663.4246575,173.7260274,29.50684932,22.08219178,51.34246575,24.4,14.417783
"37","Cuba",259.0410959,72.16438356,64.98630137,24.35616438,15.5890411,24.6,11.174555
"38","Cyprus",310.4931507,127.369863,68.71232877,21.56164384,68.32876712,21.8,8.946656
"39","Czechia",523.0958904,154.739726,60.16438356,23.64383562,25.50684932,26,14.825191
"40","Denmark",841.1780822,110.9315068,79.39726027,43.26027397,62.19178082,19.7,7.348267
"41","Djibouti",68.76712329,31.80821918,7.342465753,3.01369863,10.10958904,13.5,5.534774
"42","Dominica",239.5890411,53.97260274,96.4109589,6.739726027,76.87671233,27.9,14.956111
"43","Dominican Republic",264.5753425,54.71232877,96.60273973,27.8630137,26.19178082,27.6,12.708033
"44","East Timor",2.794520548,30.63013699,11.61643836,2.191780822,21.8630137,3.8,3.2272484
"45","Ecuador",295.6986301,70.82191781,52.90410959,21.31506849,21.28767123,19.9,14.265123
"46","Egypt",112.9315068,33.09589041,35.50684932,9.452054795,64.90410959,32,21.271542
"47","El Salvador",277.4246575,27.64383562,55.97260274,23.91780822,18.19178082,24.6,13.539627
"48","Estonia",979.260274,115.7808219,58.24657534,34.76712329,40.32876712,21.2,17.92216
"49","Eswatini",114.6575342,57.20547945,17.69863014,4.602739726,10.63013699,16.5,14.483908
"50","Ethiopia",84.54794521,11.45205479,0.356164384,1.178082192,1.205479452,4.5,3.7621174
"51","Fiji",69.75342466,43.04109589,76.76712329,10.73972603,95.42465753,30.2,27.553308
"52","Finland",1253.972603,155.9452055,51.39726027,23.94520548,92.10958904,22.2,9.648821
"53","France",712.630137,161.0136986,62.73972603,31.5890411,94.16438356,21.6,7.509494
"54","Gabon",35.61643836,41.15068493,80.35616438,2.630136986,84.76712329,15,12.068389
"55","Gambia",92.68493151,9.835616438,9.671232877,3.863013699,75.42465753,10.3,7.6607523
"56","Georgia",377.890411,44.98630137,41.83561644,16.73972603,22.02739726,21.7,17.110304
"57","Germany",732.9315068,181.3150685,53.34246575,30.73972603,34.93150685,22.3,10.81404
"58","Ghana",19.47945205,10.43835616,19.83561644,3.287671233,69.89041096,10.9,10.1765175
"59","Greece",624.0821918,148.4383562,41.97260274,23.56164384,53.26027397,24.9,10.597336
"60","Grenada",78.21917808,35.7260274,125.2054795,26.54794521,74.24657534,21.3,13.9215555
